Country	Ladder	LogGDP	Support	HLEB	Choice	Generos	Positive	Negative
Afghanistan	2.436034441	7.632903099	0.454174697	54.54999924	0.394305944	-0.103466518	0.178885803	0.60671258
Cambodia	4.555141449	8.348700523	0.712757587	61.90000153	0.965093315	0.019178679	0.759146988	0.391309649
China	5.862864494	9.776108742	0.85600698	68.75	0.874755502	0.023953401	0.697809815	0.239618436
HongKong	5.321550846	10.935853	0.821088552	73	0.6686306	-0.072825305	0.534147561	0.223565042
India	3.558253765	8.807804108	0.569732904	60.90000153	0.866110921	0.056761485	0.547308445	0.429137886
Indonesia	5.43317318	9.367486954	0.816924691	63.04999924	0.884855866	0.545828223	0.798546731	0.27275306
Iran	4.78781414	9.462799072	0.771469533	66.59999847	0.609310269	0.187419236	0.517929852	0.42716375
Iraq	5.093667984	9.109132767	0.730212867	63.65000153	0.594466746	0.008787568	0.577400565	0.474228501
Japan	6.091324806	10.6239481	0.895737708	74.34999847	0.801350355	-0.209871203	0.674374282	0.189246044
Kazakhstan	6.259634018	10.16281033	0.906053364	65.80000305	0.807489097	0.038746249	0.662836969	0.122301146
Laos	4.926521778	8.97042942	0.649893284	61.09999847	0.927041471	0.041928682	0.702153087	0.291677624
Malaysia	6.01419878	10.18383026	0.796895385	65.67500305	0.877859235	0.097786687	0.721455097	0.288135022
Mongolia	5.72103405	9.387740135	0.92711699	60.5	0.666846633	0.217352957	0.560003579	0.202482358
Myanmar	4.314039707	8.281549454	0.779576421	61.54999924	0.631394386	0.514833272	0.636049151	0.267805815
Nepal	4.622300148	8.242314339	0.698646426	61.84999847	0.817544639	0.149796292	0.414381087	0.35387665
Pakistan	4.486834526	8.440561295	0.608395636	57.45000076	0.763992071	0.020692177	0.517665982	0.307363391
Philippines	5.96505785	9.020073891	0.778192103	62.04999924	0.905275464	-0.00859355	0.789731145	0.322941482
SaudiArabia	6.44529438	10.70742989	0.859361112	64.40000153	0.902473032	-0.101232871	0.728473246	0.228370279
Singapore	6.586717129	11.49691391	0.876408994	73.80000305	0.878701091	0.023224151	0.696990192	0.159802228
SouthKorea	6.112745285	10.69212723	0.810740769	73.65000153	0.717086375	-0.029297361	0.566271067	0.22117126
SriLanka	4.10344696	9.463738441	0.812373936	67.19999695	0.771430016	-0.006883008	0.733172596	0.311583638
Taiwan	6.246744156	10.7974596	0.866297543	69.59999847	0.818467379	-0.127218142	0.667416632	0.122979514
Thailand	5.638096809	9.765044212	0.882821918	68.44999695	0.835590303	0.293198258	0.71892941	0.297737539
UAE	6.733067513	11.07025528	0.826060593	66.30000305	0.95132792	0.158868521	0.696669996	0.217109919
Vietnam	5.540249825	9.028701782	0.799493909	65.5	0.896800399	0.126362011	0.650598168	0.28043741
