Result	FNG	FSP	FSW	ACE	WNR	UFE	NPW
1	18	72	44	17	41	18	17
1	18	77	40	6	25	11	11
1	21	63	56	21	56	32	15
1	19	67	56	22	61	29	35
1	18	78	46	6	19	20	7
1	24	63	58	20	64	29	18
1	19	68	54	18	47	13	32
1	29	68	102	22	55	44	22
1	18	66	37	8	35	19	33
1	20	55	43	11	36	14	18
1	19	57	37	5	32	11	20
1	18	75	47	9	46	21	29
1	20	75	55	22	40	20	16
1	20	68	50	5	37	30	18
1	19	60	34	11	43	18	28
1	24	68	67	18	68	33	31
1	18	73	43	15	26	9	12
1	19	62	43	17	43	15	32
1	18	63	47	13	41	33	16
1	18	67	37	1	32	14	17
1	25	65	84	20	69	30	36
1	18	71	45	19	54	18	17
1	19	75	63	6	31	25	15
1	23	68	57	7	31	22	26
1	31	65	90	19	59	41	30
1	18	72	39	28	68	19	9
1	25	78	86	11	45	30	10
1	18	52	30	7	31	7	22
1	25	65	65	8	60	28	31
1	26	62	68	22	52	32	26
1	19	63	41	5	40	20	20
1	18	57	39	11	38	16	17
1	26	67	85	12	57	32	39
1	20	67	53	9	40	26	30
1	19	70	56	25	53	30	26
1	19	71	55	15	40	26	27
1	18	70	45	16	41	19	8
1	25	67	64	16	52	21	32
1	24	63	65	12	60	27	44
1	20	65	59	20	55	36	17
1	18	70	35	7	32	6	21
1	18	62	38	7	29	15	29
1	25	69	62	8	45	29	50
1	18	68	40	11	39	17	11
1	22	47	42	6	29	47	20
1	18	63	31	6	34	14	23
1	22	63	51	26	64	21	21
1	20	60	53	13	53	24	32
1	19	73	45	10	34	10	9
1	23	63	63	18	61	53	34
1	28	61	84	13	47	49	17
1	25	61	63	5	44	31	31
1	18	60	49	12	39	17	16
1	19	64	38	7	38	17	27
1	28	73	76	13	47	39	15
1	18	62	47	6	31	14	20
1	19	56	41	4	29	20	22
1	20	55	39	9	31	14	14
1	20	64	56	17	45	13	14
1	27	69	69	9	50	59	35
1	26	61	73	26	68	25	29
1	19	71	55	21	42	12	31
1	24	66	66	10	60	30	43
1	18	59	38	20	53	25	11
0	9	70	34	4	24	13	12
0	8	79	35	1	16	27	13
0	16	73	59	7	33	28	10
0	12	54	40	4	22	15	15
0	9	58	33	4	17	44	14
0	15	63	48	7	23	34	14
0	13	71	46	2	40	10	26
0	26	59	81	20	95	74	42
0	8	60	34	12	29	30	10
0	15	52	51	11	34	36	14
0	12	60	41	12	44	37	13
0	9	67	32	4	23	13	9
0	13	65	47	4	27	20	13
0	14	57	41	1	28	42	16
0	8	69	28	5	20	21	4
0	16	66	60	10	38	36	20
0	8	59	34	4	20	28	5
0	13	65	44	3	24	14	9
0	9	60	34	7	19	30	5
0	9	61	39	8	20	25	15
0	23	57	75	14	60	34	23
0	10	64	42	4	23	13	16
0	13	58	40	5	38	52	16
0	14	74	53	8	28	23	14
0	25	69	93	20	64	37	10
0	7	62	30	0	17	14	1
0	27	64	81	36	79	43	29
0	6	64	30	7	23	17	10
0	20	72	73	11	48	29	50
0	26	55	76	25	76	55	26
0	12	60	46	3	25	12	19
0	9	59	29	5	26	18	19
0	23	62	77	18	60	28	19
0	14	68	61	7	32	29	20
0	11	59	41	7	22	28	6
0	13	61	47	3	28	16	24
0	11	61	31	4	20	18	9
0	18	64	66	13	55	40	15
0	17	69	60	3	33	33	25
0	15	66	48	5	42	30	29
0	5	85	26	3	14	13	8
0	8	54	27	1	17	22	11
0	17	66	52	3	49	33	24
0	8	71	39	4	17	12	9
0	14	53	43	6	29	36	17
0	6	60	32	1	15	20	11
0	14	59	43	2	26	21	14
0	16	67	52	6	32	24	28
0	8	58	30	7	29	23	9
0	21	65	58	15	50	33	22
0	28	62	78	17	60	40	14
0	19	58	63	19	53	44	32
0	11	61	39	8	39	18	12
0	9	43	22	0	14	20	12
0	23	61	66	17	66	55	28
0	11	64	38	5	28	24	11
0	9	65	31	3	19	26	14
0	12	56	43	8	35	29	16
0	13	56	37	5	29	13	14
0	25	70	73	6	52	60	21
0	22	52	73	19	67	38	23
0	12	60	49	5	40	26	36
0	19	65	70	18	43	17	26
0	8	58	40	7	16	19	3
